Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:41.391,6436097,15796912,31,
2025-02-27 05:33:41.425,6436097,15941247,32,
2025-02-27 05:33:41.414,6436247,15941247,255,
2025-02-27 05:33:41.456,6436178,828964691,36,
2025-02-27 05:33:41.488,6436098,15941149,37,
2025-02-27 05:33:41.495,6436238,15941149,255,
2025-02-27 05:33:41.552,6436097,15941242,29,
2025-02-27 05:33:41.564,6436238,15941248,33,
2025-02-27 05:33:41.619,6436097,15886772,32,
2025-02-27 05:33:41.641,6436098,15886780,14,
2025-02-27 05:33:41.733,6436098,15886161,40,
2025-02-27 05:33:41.768,6436178,16102365,35,
2025-02-27 05:33:41.837,6436098,15796898,15,
2025-02-27 05:33:41.878,6436097,15886785,7,
2025-02-27 05:33:41.867,6436227,15886785,255,
2025-02-27 05:33:41.953,6436098,15796747,25,
2025-02-27 05:33:42.099,6436098,15797009,10,
2025-02-27 05:33:42.094,6436238,15797009,255,
2025-02-27 05:33:42.118,6436238,16102365,23,
2025-02-27 05:33:42.273,6436178,16168836,31,
2025-02-27 05:33:42.277,6436238,828963725,34,
2025-02-27 05:33:42.364,6436098,16291321,30,
2025-02-27 05:33:42.442,6436096,829019519,21,
2025-02-27 05:33:42.649,6436097,16291244,14,
2025-02-27 05:33:42.657,6436098,16291288,32,
2025-02-27 05:33:42.661,6436178,828964839,34,
2025-02-27 05:33:42.686,6436097,15797010,4,
2025-02-27 05:33:42.674,6436247,15797010,255,
2025-02-27 05:33:42.702,6436097,15886790,31,
2025-02-27 05:33:42.769,6436096,16168810,35,
2025-02-27 05:33:42.778,6436098,15797006,39,
2025-02-27 05:33:42.846,6436097,16291322,9,
2025-02-27 05:33:42.982,6436238,15796989,27,
2025-02-27 05:33:43.023,6436237,16291313,26,
2025-02-27 05:33:43.062,6436098,15797011,13,
2025-02-27 05:33:43.188,6436097,15886708,36,
2025-02-27 05:33:43.213,6436238,828963169,33,
2025-02-27 05:33:43.291,6436097,15941215,20,
2025-02-27 05:33:43.355,6436098,829019565,7,
2025-02-27 05:33:43.395,6436098,15797012,9,
2025-02-27 05:33:43.420,6436178,15941253,30,
2025-02-27 05:33:43.418,6436247,16291030,19,
2025-02-27 05:33:43.453,6436098,829019566,24,
2025-02-27 05:33:43.467,6436098,829019519,1,
2025-02-27 05:33:43.455,6436247,829019519,255,
2025-02-27 05:33:43.512,6436238,16168813,34,
