Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:58.332,6436096,15796749,31,6,6,2510,16,36,2147483647,
2025-02-27 05:30:58.391,6436098,15941005,5,4,6,1496,32,96,2147483647,
2025-02-27 05:30:58.398,6436097,15940995,16,6,12,1954,16,36,2147483647,
2025-02-27 05:30:58.419,6436238,16168557,33,15,15,2791,32,48,2064,
2025-02-27 05:30:58.521,6436178,15886569,38,10,9,2948,64,72,2147483647,
2025-02-27 05:30:58.517,6436238,15886569,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.553,6436238,828964043,41,15,15,2565,16,36,1770,
2025-02-27 05:30:58.578,6436098,16166663,49,12,8,2385,0,60,2147483647,
2025-02-27 05:30:58.595,6436096,16168537,24,8,7,1013,48,60,2147483647,
2025-02-27 05:30:58.595,6436178,16168537,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.598,6436097,828964378,23,9,13,1667,16,36,2147483647,
2025-02-27 05:30:58.594,6436238,16168537,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.600,6436098,828964597,51,10,255,2044,16,12,2147483647,
2025-02-27 05:30:58.605,6436178,15074519,48,12,12,1975,16,36,2147483647,
2025-02-27 05:30:58.626,6436097,16168585,26,11,10,1342,16,36,2147483647,
2025-02-27 05:30:58.654,6436097,15886560,29,11,255,2062,0,24,2147483647,
2025-02-27 05:30:58.676,6436097,16168577,30,9,12,2221,0,24,2147483647,
2025-02-27 05:30:58.688,6436136,16291018,255,14,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.688,6436096,16291018,29,11,6,2332,16,48,2147483647,
2025-02-27 05:30:58.686,6436238,16291018,255,8,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.699,6436178,828964434,31,9,6,2049,0,36,2147483647,
2025-02-27 05:30:58.703,6436238,16228853,38,13,13,2529,32,48,1660,
2025-02-27 05:30:58.719,6436098,828964258,18,8,7,762,80,84,2147483647,
2025-02-27 05:30:58.723,6436098,15886570,35,15,255,3223,16,36,2147483647,
2025-02-27 05:30:58.721,6436238,15886549,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.725,6436178,15886549,32,9,7,2009,48,60,2147483647,
2025-02-27 05:30:58.725,6436098,15886549,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.741,6436097,16291052,15,8,5,1328,16,36,2147483647,
2025-02-27 05:30:58.799,6436238,16290665,24,10,255,1216,32,48,245,
2025-02-27 05:30:58.806,6436097,828964647,9,10,5,190,0,24,2147483647,
2025-02-27 05:30:58.811,6436238,15886241,34,11,11,2465,32,36,1712,
2025-02-27 05:30:58.816,6436178,15794626,255,15,13,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.816,6436098,15794626,43,10,9,2442,16,48,2147483647,
2025-02-27 05:30:58.825,6436238,15794626,255,12,12,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.835,6436178,16168502,53,14,10,2350,16,24,2147483647,
2025-02-27 05:30:58.851,6436097,16168427,48,9,7,2756,0,0,2147483647,
2025-02-27 05:30:58.857,6436098,16289896,15,9,5,1648,0,24,2147483647,
2025-02-27 05:30:58.883,6436098,15886479,4,8,4,87,64,84,2147483647,
2025-02-27 05:30:58.926,6436098,16291063,6,9,255,848,64,72,2147483647,
2025-02-27 05:30:58.965,6436098,828964377,26,7,9,1071,48,72,2147483647,
2025-02-27 05:30:58.969,6436178,15796751,16,12,255,2060,16,12,2147483647,
2025-02-27 05:30:58.979,6436096,16291056,31,13,255,713,0,24,2147483647,
2025-02-27 05:30:58.979,6436178,16291056,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.007,6436238,16290488,47,15,15,1974,32,72,1368,
2025-02-27 05:30:59.026,6436096,15940019,19,8,6,999,0,24,2147483647,
2025-02-27 05:30:59.049,6436238,16291035,28,12,12,1441,32,60,1188,
2025-02-27 05:30:59.087,6436098,15796762,6,10,255,433,64,84,2147483647,
2025-02-27 05:30:59.083,6436238,15796762,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.098,6436097,15886561,39,9,15,2305,0,24,2147483647,
2025-02-27 05:30:59.112,6436096,16168419,28,11,6,2085,16,36,2147483647,
2025-02-27 05:30:59.108,6436238,15886548,29,15,15,2925,16,24,2160,
2025-02-27 05:30:59.146,6436097,15886199,18,7,6,619,16,36,2147483647,
2025-02-27 05:30:59.162,6436097,16168453,29,12,6,1629,16,24,2147483647,
2025-02-27 05:30:59.173,6436098,16168568,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.173,6436178,16168568,36,12,5,2105,0,12,2147483647,
2025-02-27 05:30:59.179,6436238,828955565,27,12,12,1897,64,96,1457,
2025-02-27 05:30:59.228,6436096,15940548,19,7,8,1919,48,72,2147483647,
2025-02-27 05:30:59.228,6436178,15940548,255,7,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.230,6436238,15940548,255,8,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.234,6436097,15796746,31,13,11,2851,32,48,2147483647,
2025-02-27 05:30:59.230,6436238,15796746,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.245,6436096,16168586,32,11,11,2518,16,36,2147483647,
2025-02-27 05:30:59.261,6436098,15941018,25,8,255,2773,32,48,2147483647,
