Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:42:11.353,6436098,15887449,2,5,9,172,120,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:11.688,6436098,15797712,1,5,8,3315,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:11.766,6436098,16169431,2,5,9,20585,132,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.125,6436097,15887473,3,5,9,100,144,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.129,6436097,16169566,2,5,8,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.320,6436097,828962127,3,5,9,1466,1571,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.422,6436096,828959225,2,5,9,11684,97079,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.684,6436096,16169549,2,5,8,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:12.834,6436098,15886403,3,5,9,7709,341,6,8,0,12583,7,7,0,13427,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.356,6436138,829020070,3,5,9,346548,547445,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.382,6436137,16291849,3,5,9,14381,302177,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.427,6436097,15797727,2,5,9,2872,1710,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.471,6436226,829020168,2,5,9,158,192,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.690,6436096,15887476,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.678,6436238,15941978,2,5,8,249,216,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:13.780,6436098,16291987,3,5,9,223,128,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
