Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:31:06.262,6436098,828963198,0,316,0,446,0,10147,14295,12,5,0,
2025-02-27 05:31:06.414,6436178,828964672,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,7,255,0,
2025-02-27 05:31:06.420,6436098,16291047,0,4,0,3,0,0,8,13,255,0,
2025-02-27 05:31:06.476,6436238,828963725,0,59,0,115,116,237,3266,15,15,255,
2025-02-27 05:31:06.646,6436178,16291080,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,14,255,0,
2025-02-27 05:31:06.705,6436097,828962127,0,189,0,202,0,8142,5307,10,14,0,
2025-02-27 05:31:06.775,6436097,828964446,1,324,0,53,0,2490,200,8,255,0,
2025-02-27 05:31:06.935,6436178,828964598,0,93,0,39,9,254,161,11,4,0,
2025-02-27 05:31:06.961,6436098,15886555,0,6,0,4,1,0,16,8,7,1,
2025-02-27 05:31:06.993,6436137,828964612,3,1135,0,489,0,15770,5252,13,15,0,
2025-02-27 05:31:07.001,6436238,16102365,0,70,0,105,107,153,449,15,15,255,
2025-02-27 05:31:07.044,6436098,16168583,0,26,0,15,7,361,37,9,10,0,
2025-02-27 05:31:07.060,6436097,15886418,6,547,0,391,0,3780,21412,7,4,0,
2025-02-27 05:31:07.094,6436096,16168410,0,523,0,69,0,505,578,11,4,0,
2025-02-27 05:31:07.117,6436238,15940999,0,5,0,4,0,11,12,14,14,255,
2025-02-27 05:31:07.209,6436098,15886403,0,65,0,642,524,251,48567,9,8,1,
2025-02-27 05:31:07.426,6436238,16167876,1,298,0,332,332,1209,4927,15,15,1,
2025-02-27 05:31:07.496,6436238,15886452,0,4,0,5,5,8,20,15,15,255,
2025-02-27 05:31:07.541,6436098,16291082,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,11,1,
2025-02-27 05:31:07.590,6436098,828959225,0,32,0,99,0,566,4122,6,3,0,
2025-02-27 05:31:07.608,6436097,16168596,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,11,1,
2025-02-27 05:31:07.637,6436097,15796760,0,6,0,3,3,6,5,12,13,1,
2025-02-27 05:31:07.669,6436178,16168485,0,498,0,20,1,353,95,9,10,0,
2025-02-27 05:31:07.676,6436238,15796769,0,13,0,33,6,29,930,15,15,1,
2025-02-27 05:31:08.030,6436096,15941003,0,503,0,5,5,2,43,10,13,1,
2025-02-27 05:31:08.076,6436096,15885868,0,537,0,365,321,704,27831,11,11,1,
2025-02-27 05:31:08.132,6436098,15886161,0,39,0,110,0,276,5313,10,4,0,
2025-02-27 05:31:08.144,6436178,15796303,1,590,1,501,64,2301,21882,6,5,0,
2025-02-27 05:31:08.243,6436098,15885154,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,0,
2025-02-27 05:31:08.274,6436178,15796489,0,507,0,195,143,301,12617,10,8,1,
2025-02-27 05:31:08.351,6436098,15796747,0,136,0,461,315,5777,17535,7,9,1,
2025-02-27 05:31:08.354,6436098,15940897,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,14,1,
2025-02-27 05:31:08.410,6436238,828964674,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:31:08.478,6436138,828964398,0,647,0,429,0,3130,6807,7,2,0,
2025-02-27 05:31:08.482,6436238,15796748,0,7,0,3,3,42,6,15,15,255,
2025-02-27 05:31:08.590,6436238,828964380,0,29,0,17,0,238,32,8,255,255,
2025-02-27 05:31:08.591,6436238,16291072,0,24,0,16,0,39,80,6,255,255,
2025-02-27 05:31:08.608,6436098,15940943,0,21,0,18,1,360,71,7,4,1,
2025-02-27 05:31:08.656,6436238,16168569,1,21,0,4,4,6,12,13,13,255,
2025-02-27 05:31:08.795,6436096,15941017,0,506,0,5,5,6,12,11,8,1,
2025-02-27 05:31:08.793,6436238,15941017,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:08.901,6436097,16290888,0,192,0,336,0,10769,8995,13,11,0,
2025-02-27 05:31:09.044,6436098,16168528,0,258,0,560,535,14473,11418,12,13,1,
2025-02-27 05:31:09.082,6436136,828964659,0,454,0,7,0,0,12,6,255,0,
2025-02-27 05:31:09.088,6436178,828962359,4294967295,4294967295,5,75,24,4294967295,6481,7,0,0,
2025-02-27 05:31:09.092,6436098,828962359,0,135,0,361,364,3099,11769,7,7,1,
2025-02-27 05:31:09.350,6436098,16291008,0,49,0,86,0,1869,2880,9,2,0,
2025-02-27 05:31:09.353,6436238,16291008,4294967295,4294967295,0,8,0,4294967295,684,14,6,0,
2025-02-27 05:31:09.385,6436178,15796774,0,458,0,19,0,26,286,6,255,0,
2025-02-27 05:31:09.397,6436098,15940985,0,55,0,41,1,834,267,8,7,0,
2025-02-27 05:31:09.586,6436238,828963169,2,107,2,177,171,417,3043,13,13,1,
2025-02-27 05:31:09.669,6436178,16168600,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:31:09.742,6436137,15941021,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:31:09.742,6436097,15941021,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,9,0,
2025-02-27 05:31:09.852,6436238,15941034,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,255,
2025-02-27 05:31:09.893,6436097,15796775,0,5,0,3,0,12,5,14,9,0,
2025-02-27 05:31:09.915,6436098,15941008,0,4,0,2,2,0,4,11,12,1,
2025-02-27 05:31:09.960,6436178,16168601,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:31:10.031,6436097,16166899,0,200,0,469,475,8640,11436,9,9,1,
2025-02-27 05:31:10.129,6436097,16291088,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,11,1,
2025-02-27 05:31:10.168,6436097,15796609,0,16,0,53,0,87,2357,9,5,0,
2025-02-27 05:31:10.193,6436098,16168578,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:10.194,6436178,16168578,0,510,0,4,1,4,14,8,2,0,
2025-02-27 05:31:10.319,6436178,16291089,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,11,1,
2025-02-27 05:31:10.352,6436098,15886577,0,13,0,11,6,36,33,9,8,1,
2025-02-27 05:31:10.349,6436238,15886577,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:10.494,6436096,16291067,0,503,0,6,0,0,16,11,9,0,
2025-02-27 05:31:10.543,6436238,15796776,0,65,0,58,51,484,342,12,12,1,
2025-02-27 05:31:10.628,6436178,16168602,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,14,1,
2025-02-27 05:31:10.794,6436238,15886576,0,8,0,10,1,20,13,12,12,255,
2025-02-27 05:31:10.853,6436238,15796755,0,13,0,13,13,36,18,15,15,1,
2025-02-27 05:31:10.909,6436097,15940829,0,25,0,26,23,390,69,11,8,1,
2025-02-27 05:31:10.912,6436238,15940662,0,70,0,271,289,464,18821,14,14,255,
